message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_flat_directed,0,105,0,0,-1,0,0
marisse_flat_directed,1,105,270,0,-1,0,0
marisse_flat_directed,2,205,270,22,-1,1,0
marisse_flat_directed,3,155,0,90,-1,1,0
marisse_flat_directed,4,105,90,90,-1,1,0
marisse_flat_directed,5,205,0,0,-1,1,1
marisse_flat_directed,6,205,0,0,-1,1,1
marisse_flat_directed,7,155,45,0,-1,0,0
marisse_flat_directed,8,255,180,22,-1,0,1
marisse_flat_directed,9,255,225,0,-1,1,1
marisse_flat_directed,10,105,180,180,-1,0,1
marisse_flat_directed,11,255,315,0,-1,1,1
marisse_flat_directed,12,155,180,0,-1,1,1
marisse_flat_directed,13,105,180,0,-1,1,1
marisse_flat_directed,14,255,270,22,-1,1,0
marisse_flat_directed,15,155,0,0,-1,1,1
marisse_flat_directed,16,255,145,45,-1,1,0
marisse_flat_directed,17,205,145,22,-1,1,0
marisse_flat_directed,18,105,315,0,-1,0,0
marisse_flat_directed,19,155,145,0,-1,1,1
marisse_flat_directed,20,155,0,180,-1,0,1
marisse_flat_directed,21,205,225,0,-1,1,1
marisse_flat_directed,22,155,180,90,-1,0,1
marisse_flat_directed,23,255,225,90,-1,0,1
marisse_flat_directed,24,155,315,22,-1,1,0
marisse_flat_directed,25,205,90,0,-1,1,1
marisse_flat_directed,26,155,315,0,-1,1,1
marisse_flat_directed,27,255,225,0,-1,1,1
marisse_flat_directed,28,105,45,22,-1,1,0
marisse_flat_directed,29,205,225,90,-1,0,1
marisse_flat_directed,30,205,270,90,-1,0,1
marisse_flat_directed,31,105,225,180,-1,1,0
marisse_flat_directed,32,205,45,0,-1,1,1
marisse_flat_directed,33,155,45,90,-1,1,0
marisse_flat_directed,34,105,145,0,-1,1,1
marisse_flat_directed,35,155,45,0,-1,1,1
marisse_flat_directed,36,255,270,180,-1,0,1
marisse_flat_directed,37,105,90,45,-1,0,1
marisse_flat_directed,38,255,45,45,-1,1,0
marisse_flat_directed,39,255,0,22,-1,1,0
marisse_flat_directed,40,205,225,0,-1,1,1
marisse_flat_directed,41,255,315,0,-1,1,1
marisse_flat_directed,42,105,145,0,-1,1,1
marisse_flat_directed,43,255,315,180,-1,0,1
