message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_ortho_directed_disconnected,0,155,180,0,-1,1,1
marisse_ortho_directed_disconnected,1,255,270,0,-1,1,1
marisse_ortho_directed_disconnected,2,205,180,45,-1,0,1
marisse_ortho_directed_disconnected,3,155,270,90,-1,0,1
marisse_ortho_directed_disconnected,4,255,145,22,-1,1,0
marisse_ortho_directed_disconnected,5,255,45,22,-1,1,0
marisse_ortho_directed_disconnected,6,155,90,22,-1,1,0
marisse_ortho_directed_disconnected,7,105,180,45,-1,1,0
marisse_ortho_directed_disconnected,8,255,90,0,-1,1,1
marisse_ortho_directed_disconnected,9,205,0,45,-1,1,0
marisse_ortho_directed_disconnected,10,255,45,0,-1,1,1
marisse_ortho_directed_disconnected,11,205,90,0,-1,1,1
marisse_ortho_directed_disconnected,12,205,145,90,-1,0,1
marisse_ortho_directed_disconnected,13,105,180,0,-1,1,1
marisse_ortho_directed_disconnected,14,255,315,90,-1,0,1
marisse_ortho_directed_disconnected,15,155,145,90,-1,0,1
marisse_ortho_directed_disconnected,16,255,270,22,-1,1,0
marisse_ortho_directed_disconnected,17,155,0,0,-1,1,1
marisse_ortho_directed_disconnected,18,155,45,0,-1,1,1
marisse_ortho_directed_disconnected,19,155,145,22,-1,1,0
marisse_ortho_directed_disconnected,20,155,315,22,-1,1,0
marisse_ortho_directed_disconnected,21,255,145,90,-1,0,1
marisse_ortho_directed_disconnected,22,105,145,45,-1,1,0
marisse_ortho_directed_disconnected,23,155,90,0,-1,1,1
marisse_ortho_directed_disconnected,24,205,90,45,-1,0,1
marisse_ortho_directed_disconnected,25,255,45,180,-1,0,1
marisse_ortho_directed_disconnected,26,105,90,180,-1,0,1
marisse_ortho_directed_disconnected,27,205,225,0,-1,0,0
marisse_ortho_directed_disconnected,28,255,145,0,-1,1,1
marisse_ortho_directed_disconnected,29,205,145,45,-1,1,0
marisse_ortho_directed_disconnected,30,155,0,90,-1,0,1
marisse_ortho_directed_disconnected,31,155,180,22,-1,0,1
marisse_ortho_directed_disconnected,32,205,180,90,-1,0,1
marisse_ortho_directed_disconnected,33,255,270,0,-1,1,1
marisse_ortho_directed_disconnected,34,255,0,22,-1,1,0
marisse_ortho_directed_disconnected,35,105,0,22,-1,1,0
marisse_ortho_directed_disconnected,36,105,90,0,-1,1,1
marisse_ortho_directed_disconnected,37,255,0,0,-1,1,1
marisse_ortho_directed_disconnected,38,155,45,0,-1,1,1
marisse_ortho_directed_disconnected,39,155,225,0,-1,1,1
marisse_ortho_directed_disconnected,40,105,180,0,-1,1,1
marisse_ortho_directed_disconnected,41,205,270,0,-1,1,1
marisse_ortho_directed_disconnected,42,255,270,0,-1,1,1
marisse_ortho_directed_disconnected,43,255,90,90,-1,0,1
marisse_ortho_directed_disconnected,44,105,90,0,-1,1,1
marisse_ortho_directed_disconnected,45,205,90,22,-1,1,0
marisse_ortho_directed_disconnected,46,255,315,22,-1,1,0
marisse_ortho_directed_disconnected,47,155,45,0,-1,1,1
marisse_ortho_directed_disconnected,48,205,315,180,-1,0,1
marisse_ortho_directed_disconnected,49,205,0,22,-1,1,0
marisse_ortho_directed_disconnected,50,205,45,0,-1,1,1
marisse_ortho_directed_disconnected,51,105,270,0,-1,1,1
marisse_ortho_directed_disconnected,52,205,225,180,-1,0,1
marisse_ortho_directed_disconnected,53,255,180,0,-1,1,1
marisse_ortho_directed_disconnected,54,155,270,45,-1,0,1
marisse_ortho_directed_disconnected,55,255,225,0,-1,0,0
marisse_ortho_directed_disconnected,56,205,180,180,-1,0,1
marisse_ortho_directed_disconnected,57,105,0,90,-1,0,1
marisse_ortho_directed_disconnected,58,155,270,0,-1,0,0
marisse_ortho_directed_disconnected,59,205,225,0,-1,1,1
marisse_ortho_directed_disconnected,60,155,145,0,-1,1,1
marisse_ortho_directed_disconnected,61,205,45,0,-1,0,0
marisse_ortho_directed_disconnected,62,105,315,180,-1,0,1
marisse_ortho_directed_disconnected,63,205,225,90,-1,0,1
