message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_ortho_undirected,0,205,0,45,-1,1,0
marisse_ortho_undirected,1,155,270,45,-1,0,1
marisse_ortho_undirected,2,105,90,0,-1,1,1
marisse_ortho_undirected,3,105,270,0,-1,1,1
marisse_ortho_undirected,4,155,0,0,-1,1,1
marisse_ortho_undirected,5,205,45,90,-1,1,0
marisse_ortho_undirected,6,255,180,0,-1,1,1
marisse_ortho_undirected,7,155,180,180,-1,1,0
marisse_ortho_undirected,8,155,90,45,-1,0,1
marisse_ortho_undirected,9,255,180,90,-1,1,0
marisse_ortho_undirected,10,105,225,22,-1,1,0
marisse_ortho_undirected,11,105,0,0,-1,1,1
marisse_ortho_undirected,12,105,270,0,-1,1,1
marisse_ortho_undirected,13,205,315,45,-1,1,0
marisse_ortho_undirected,14,255,270,0,-1,1,1
marisse_ortho_undirected,15,255,0,45,-1,1,0
marisse_ortho_undirected,16,155,145,0,-1,1,1
marisse_ortho_undirected,17,155,315,0,-1,1,1
marisse_ortho_undirected,18,205,90,0,-1,1,1
marisse_ortho_undirected,19,205,225,0,-1,0,0
marisse_ortho_undirected,20,155,270,0,-1,1,1
marisse_ortho_undirected,21,205,270,0,-1,1,1
marisse_ortho_undirected,22,105,315,0,-1,1,1
marisse_ortho_undirected,23,105,45,22,-1,1,0
marisse_ortho_undirected,24,105,45,0,-1,1,1
marisse_ortho_undirected,25,205,145,90,-1,0,1
marisse_ortho_undirected,26,205,145,45,-1,0,1
marisse_ortho_undirected,27,155,90,90,-1,0,1
marisse_ortho_undirected,28,205,225,0,-1,1,1
marisse_ortho_undirected,29,255,270,180,-1,0,1
marisse_ortho_undirected,30,205,315,180,-1,0,1
marisse_ortho_undirected,31,155,270,90,-1,0,1
marisse_ortho_undirected,32,105,225,45,-1,1,0
marisse_ortho_undirected,33,255,225,0,-1,1,1
marisse_ortho_undirected,34,105,90,22,-1,1,0
marisse_ortho_undirected,35,205,315,22,-1,1,0
marisse_ortho_undirected,36,205,90,90,-1,0,1
marisse_ortho_undirected,37,155,315,0,-1,1,1
marisse_ortho_undirected,38,155,45,0,-1,1,1
marisse_ortho_undirected,39,155,225,90,-1,0,1
marisse_ortho_undirected,40,255,45,0,-1,1,1
marisse_ortho_undirected,41,255,145,45,-1,1,0
