message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_paper_undirected,0,155,90,90,-1,1,0
marisse_paper_undirected,1,155,225,45,-1,1,0
marisse_paper_undirected,2,155,0,0,-1,1,1
marisse_paper_undirected,3,155,45,0,-1,1,1
marisse_paper_undirected,4,205,180,0,-1,0,0
marisse_paper_undirected,5,155,315,0,-1,1,1
marisse_paper_undirected,6,105,270,45,-1,0,1
marisse_paper_undirected,7,155,225,0,-1,0,0
marisse_paper_undirected,8,105,180,0,-1,1,1
marisse_paper_undirected,9,205,315,180,-1,0,1
marisse_paper_undirected,10,155,315,180,-1,0,1
marisse_paper_undirected,11,205,0,90,-1,1,0
marisse_paper_undirected,12,105,315,90,-1,0,1
marisse_paper_undirected,13,255,180,45,-1,0,1
marisse_paper_undirected,14,205,225,0,-1,1,1
marisse_paper_undirected,15,205,315,0,-1,1,1
marisse_paper_undirected,16,255,315,0,-1,1,1
marisse_paper_undirected,17,155,0,0,-1,0,0
marisse_paper_undirected,18,255,180,0,-1,0,0
marisse_paper_undirected,19,205,90,180,-1,0,1
marisse_paper_undirected,20,105,0,0,-1,1,1
marisse_paper_undirected,21,255,45,0,-1,0,0
marisse_paper_undirected,22,155,90,0,-1,1,1
marisse_paper_undirected,23,155,145,180,-1,0,1
marisse_paper_undirected,24,105,0,0,-1,1,1
marisse_paper_undirected,25,155,270,0,-1,1,1
marisse_paper_undirected,26,255,0,0,-1,1,1
marisse_paper_undirected,27,155,145,0,-1,1,1
marisse_paper_undirected,28,105,145,22,-1,1,0
marisse_paper_undirected,29,205,0,22,-1,1,0
marisse_paper_undirected,30,105,315,0,-1,1,1
marisse_paper_undirected,31,205,45,0,-1,1,1
marisse_paper_undirected,32,255,0,22,-1,1,0
marisse_paper_undirected,33,105,90,0,-1,1,1
marisse_paper_undirected,34,205,270,0,-1,1,1
marisse_paper_undirected,35,205,45,180,-1,0,1
marisse_paper_undirected,36,105,270,0,-1,1,1
marisse_paper_undirected,37,255,90,45,-1,0,1
marisse_paper_undirected,38,155,145,90,-1,1,0
marisse_paper_undirected,39,205,0,180,-1,0,1
marisse_paper_undirected,40,255,225,180,-1,0,1
marisse_paper_undirected,41,255,270,90,-1,0,1
marisse_paper_undirected,42,205,315,22,-1,1,0
marisse_paper_undirected,43,255,315,0,-1,1,1
marisse_paper_undirected,44,155,0,180,-1,0,1
marisse_paper_undirected,45,155,45,0,-1,0,0
marisse_paper_undirected,46,105,270,0,-1,1,1
marisse_paper_undirected,47,155,270,45,-1,0,1
marisse_paper_undirected,48,155,180,0,-1,0,0
marisse_paper_undirected,49,155,145,0,-1,1,1
marisse_paper_undirected,50,205,225,180,-1,0,1
marisse_paper_undirected,51,155,315,22,-1,1,0
marisse_paper_undirected,52,155,270,0,-1,1,1
marisse_paper_undirected,53,105,45,22,-1,1,0
marisse_paper_undirected,54,155,90,0,-1,1,1
marisse_paper_undirected,55,205,270,0,-1,1,1
marisse_paper_undirected,56,105,225,0,-1,1,1
marisse_paper_undirected,57,255,180,0,-1,1,1
marisse_paper_undirected,58,105,45,90,-1,1,0
marisse_paper_undirected,59,205,90,0,-1,1,1
marisse_paper_undirected,60,105,180,22,-1,0,1
marisse_paper_undirected,61,255,145,90,-1,0,1
marisse_paper_undirected,62,205,145,180,-1,0,1
marisse_paper_undirected,63,255,180,0,-1,1,1
marisse_paper_undirected,64,255,270,0,-1,1,1
marisse_paper_undirected,65,255,0,45,-1,1,0
marisse_paper_undirected,66,205,145,0,-1,1,1
marisse_paper_undirected,67,105,90,45,-1,0,1
marisse_paper_undirected,68,105,315,45,-1,1,0
marisse_paper_undirected,69,105,90,0,-1,1,1
marisse_paper_undirected,70,255,180,90,-1,0,1
marisse_paper_undirected,71,255,225,0,-1,1,1
marisse_paper_undirected,72,205,90,22,-1,1,0
marisse_paper_undirected,73,255,145,22,-1,1,0
marisse_paper_undirected,74,255,180,22,-1,0,1
marisse_paper_undirected,75,105,145,45,-1,1,0
marisse_paper_undirected,76,155,225,180,-1,0,1
marisse_paper_undirected,77,255,270,45,-1,0,1
marisse_paper_undirected,78,255,90,0,-1,1,1
marisse_paper_undirected,79,155,145,0,-1,1,1
marisse_paper_undirected,80,105,315,0,-1,1,1
marisse_paper_undirected,81,155,180,180,-1,0,1
marisse_paper_undirected,82,155,90,0,-1,1,1
marisse_paper_undirected,83,205,180,45,-1,0,1
marisse_paper_undirected,84,205,180,0,-1,1,1
marisse_paper_undirected,85,105,145,0,-1,1,1
marisse_paper_undirected,86,255,145,45,-1,1,0
marisse_paper_undirected,87,205,270,0,-1,1,1
marisse_paper_undirected,88,255,225,90,-1,0,1
marisse_paper_undirected,89,205,315,0,-1,1,1
marisse_paper_undirected,90,255,225,45,-1,1,0
marisse_paper_undirected,91,105,270,0,-1,1,1
marisse_paper_undirected,92,205,180,0,-1,1,1
marisse_paper_undirected,93,205,145,0,-1,1,1
marisse_paper_undirected,94,205,180,180,-1,0,1
marisse_paper_undirected,95,205,315,0,-1,1,1
marisse_paper_undirected,96,155,90,180,-1,0,1
marisse_paper_undirected,97,205,145,22,-1,1,0
marisse_paper_undirected,98,155,90,22,-1,1,0
marisse_paper_undirected,99,155,315,45,-1,1,0
marisse_paper_undirected,100,155,145,45,-1,1,0
marisse_paper_undirected,101,255,270,0,-1,1,1
marisse_paper_undirected,102,105,90,90,-1,0,1
marisse_paper_undirected,103,205,45,90,-1,1,0
marisse_paper_undirected,104,205,0,0,-1,1,1
marisse_paper_undirected,105,255,225,0,-1,1,1
marisse_paper_undirected,106,205,90,90,-1,0,1
marisse_paper_undirected,107,255,90,0,-1,1,1
marisse_paper_undirected,108,255,45,180,-1,1,0
