message,trialNum,strength,center,delta,direction,answerSame,answerCorrect
marisse_zero,0,155,90,90,-1,1,0
marisse_zero,1,155,225,45,-1,1,0
marisse_zero,2,155,0,0,-1,1,1
marisse_zero,3,155,45,0,-1,1,1
marisse_zero,4,205,180,0,-1,0,0
marisse_zero,5,155,315,0,-1,1,1
marisse_zero,6,105,270,45,-1,0,1
marisse_zero,7,155,225,0,-1,0,0
marisse_zero,8,105,180,0,-1,1,1
marisse_zero,9,205,315,180,-1,0,1
marisse_zero,10,155,315,180,-1,0,1
marisse_zero,11,205,0,90,-1,1,0
marisse_zero,12,105,315,90,-1,0,1
marisse_zero,13,255,180,45,-1,0,1
marisse_zero,14,205,225,0,-1,1,1
marisse_zero,15,205,315,0,-1,1,1
marisse_zero,16,255,315,0,-1,1,1
marisse_zero,17,155,0,0,-1,0,0
marisse_zero,18,255,180,0,-1,0,0
marisse_zero,19,205,90,180,-1,0,1
marisse_zero,20,105,0,0,-1,1,1
marisse_zero,21,255,45,0,-1,0,0
marisse_zero,22,155,90,0,-1,1,1
marisse_zero,23,155,145,180,-1,0,1
marisse_zero,24,105,0,0,-1,1,1
marisse_zero,25,155,270,0,-1,1,1
marisse_zero,26,255,0,0,-1,1,1
marisse_zero,27,155,145,0,-1,1,1
marisse_zero,28,105,145,22,-1,1,0
marisse_zero,29,205,0,22,-1,1,0
marisse_zero,30,105,315,0,-1,1,1
marisse_zero,31,205,45,0,-1,1,1
marisse_zero,32,255,0,22,-1,1,0
marisse_zero,33,105,90,0,-1,1,1
marisse_zero,34,205,270,0,-1,1,1
marisse_zero,35,205,45,180,-1,0,1
marisse_zero,36,105,270,0,-1,1,1
marisse_zero,37,255,90,45,-1,0,1
marisse_zero,38,155,145,90,-1,1,0
marisse_zero,39,205,0,180,-1,0,1
marisse_zero,40,255,225,180,-1,0,1
marisse_zero,41,255,270,90,-1,0,1
marisse_zero,42,205,315,22,-1,1,0
marisse_zero,43,255,315,0,-1,1,1
marisse_zero,44,155,0,180,-1,0,1
marisse_zero,45,155,45,0,-1,0,0
marisse_zero,46,105,270,0,-1,1,1
marisse_zero,47,155,270,45,-1,0,1
marisse_zero,48,155,180,0,-1,0,0
marisse_zero,49,155,145,0,-1,1,1
marisse_zero,50,205,225,180,-1,0,1
marisse_zero,51,155,315,22,-1,1,0
marisse_zero,52,155,270,0,-1,1,1
marisse_zero,53,105,45,22,-1,1,0
marisse_zero,54,155,90,0,-1,1,1
marisse_zero,55,205,270,0,-1,1,1
marisse_zero,56,105,225,0,-1,1,1
marisse_zero,57,255,180,0,-1,1,1
marisse_zero,58,105,45,90,-1,1,0
marisse_zero,59,205,90,0,-1,1,1
marisse_zero,60,105,180,22,-1,0,1
marisse_zero,61,255,145,90,-1,0,1
marisse_zero,62,205,145,180,-1,0,1
marisse_zero,63,255,180,0,-1,1,1
marisse_zero,64,255,270,0,-1,1,1
marisse_zero,65,255,0,45,-1,1,0
marisse_zero,66,205,145,0,-1,1,1
marisse_zero,67,105,90,45,-1,0,1
marisse_zero,68,105,315,45,-1,1,0
marisse_zero,69,105,90,0,-1,1,1
marisse_zero,70,255,180,90,-1,0,1
marisse_zero,71,255,225,0,-1,1,1
marisse_zero,72,205,90,22,-1,1,0
marisse_zero,73,255,145,22,-1,1,0
marisse_zero,74,255,180,22,-1,0,1
marisse_zero,75,105,145,45,-1,1,0
marisse_zero,76,155,225,180,-1,0,1
marisse_zero,77,255,270,45,-1,0,1
marisse_zero,78,255,90,0,-1,1,1
marisse_zero,79,155,145,0,-1,1,1
marisse_zero,80,105,315,0,-1,1,1
marisse_zero,81,155,180,180,-1,0,1
marisse_zero,82,155,90,0,-1,1,1
marisse_zero,83,205,180,45,-1,0,1
marisse_zero,84,205,180,0,-1,1,1
marisse_zero,85,105,145,0,-1,1,1
marisse_zero,86,255,145,45,-1,1,0
marisse_zero,87,205,270,0,-1,1,1
marisse_zero,88,255,225,90,-1,0,1
marisse_zero,89,205,315,0,-1,1,1
marisse_zero,90,255,225,45,-1,1,0
marisse_zero,91,105,270,0,-1,1,1
marisse_zero,92,205,180,0,-1,1,1
marisse_zero,93,205,145,0,-1,1,1
marisse_zero,94,205,180,180,-1,0,1
marisse_zero,95,205,315,0,-1,1,1
marisse_zero,96,155,90,180,-1,0,1
marisse_zero,97,205,145,22,-1,1,0
marisse_zero,98,155,90,22,-1,1,0
marisse_zero,99,155,315,45,-1,1,0
marisse_zero,100,155,145,45,-1,1,0
marisse_zero,101,255,270,0,-1,1,1
marisse_zero,102,105,90,90,-1,0,1
marisse_zero,103,205,45,90,-1,1,0
marisse_zero,104,205,0,0,-1,1,1
marisse_zero,105,255,225,0,-1,1,1
marisse_zero,106,205,90,90,-1,0,1
marisse_zero,107,255,90,0,-1,1,1
marisse_zero,108,255,45,180,-1,1,0
marisse_zero,109,105,45,0,-1,1,1
marisse_zero,110,255,225,0,-1,1,1
marisse_zero,111,205,145,0,-1,1,1
marisse_zero,112,205,0,0,-1,1,1
marisse_zero,113,155,0,90,-1,0,1
marisse_zero,114,205,0,0,-1,0,0
marisse_zero,115,255,315,90,-1,1,0
marisse_zero,116,255,315,0,-1,1,1
marisse_zero,117,105,225,0,-1,0,0
marisse_zero,118,255,270,180,-1,0,1
marisse_zero,119,155,90,45,-1,0,1
marisse_zero,120,205,270,22,-1,1,0
marisse_zero,121,255,45,0,-1,1,1
marisse_zero,122,155,270,90,-1,0,1
marisse_zero,123,255,225,0,-1,1,1
marisse_zero,124,205,225,0,-1,1,1
marisse_zero,125,255,145,0,-1,1,1
marisse_zero,126,105,270,0,-1,1,1
marisse_zero,127,155,45,0,-1,1,1
marisse_zero,128,155,0,22,-1,1,0
marisse_zero,129,155,180,0,-1,1,1
marisse_zero,130,255,90,0,-1,1,1
marisse_zero,131,255,0,90,-1,1,0
marisse_zero,132,105,0,45,-1,1,0
marisse_zero,133,155,225,90,-1,0,1
marisse_zero,134,255,90,22,-1,1,0
marisse_zero,135,255,45,90,-1,1,0
marisse_zero,136,105,0,0,-1,1,1
marisse_zero,137,255,90,180,-1,0,1
marisse_zero,138,155,225,0,-1,1,1
marisse_zero,139,155,180,90,-1,0,1
marisse_zero,140,255,315,45,-1,1,0
marisse_zero,141,105,145,180,-1,0,1
marisse_zero,142,155,180,0,-1,1,1
marisse_zero,143,155,225,22,-1,1,0
marisse_zero,144,155,45,45,-1,1,0
marisse_zero,145,205,45,0,-1,1,1
marisse_zero,146,205,225,45,-1,1,0
marisse_zero,147,205,225,90,-1,1,0
marisse_zero,148,205,90,0,-1,1,1
marisse_zero,149,105,45,0,-1,0,0
marisse_zero,150,255,90,0,-1,1,1
marisse_zero,151,255,90,90,-1,0,1
marisse_zero,152,155,270,22,-1,1,0
marisse_zero,153,255,145,0,-1,1,1
marisse_zero,154,155,270,0,-1,1,1
marisse_zero,155,155,45,180,-1,0,1
marisse_zero,156,255,315,0,-1,1,1
marisse_zero,157,105,180,45,-1,0,1
marisse_zero,158,155,45,22,-1,1,0
marisse_zero,159,105,180,0,-1,1,1
marisse_zero,160,255,145,0,-1,1,1
marisse_zero,161,205,180,0,-1,1,1
marisse_zero,162,105,145,0,-1,1,1
marisse_zero,163,205,270,90,-1,0,1
marisse_zero,164,105,315,180,-1,1,0
marisse_zero,165,155,315,0,-1,1,1
marisse_zero,166,205,45,45,-1,1,0
marisse_zero,167,155,0,45,-1,1,0
marisse_zero,168,205,180,22,-1,0,1
marisse_zero,169,155,315,90,-1,0,1
marisse_zero,170,205,0,45,-1,1,0
marisse_zero,171,205,315,45,-1,1,0
marisse_zero,172,105,270,90,-1,1,0
marisse_zero,173,105,90,0,-1,1,1
marisse_zero,174,105,270,22,-1,1,0
marisse_zero,175,105,180,180,-1,0,1
marisse_zero,176,255,270,0,-1,1,1
marisse_zero,177,155,315,0,-1,1,1
marisse_zero,178,255,270,0,-1,1,1
marisse_zero,179,155,0,0,-1,0,0
marisse_zero,180,255,45,22,-1,1,0
marisse_zero,181,105,315,0,-1,1,1
marisse_zero,182,105,45,45,-1,1,0
marisse_zero,183,155,145,22,-1,1,0
marisse_zero,184,205,0,0,-1,1,1
marisse_zero,185,155,225,0,-1,1,1
marisse_zero,186,105,225,22,-1,1,0
marisse_zero,187,205,45,0,-1,1,1
marisse_zero,188,105,90,180,-1,0,1
marisse_zero,189,255,315,22,-1,1,0
marisse_zero,190,205,270,180,-1,0,1
marisse_zero,191,155,270,0,-1,1,1
marisse_zero,192,105,0,180,-1,0,1
marisse_zero,193,205,315,0,-1,1,1
marisse_zero,194,255,225,22,-1,1,0
marisse_zero,195,205,45,22,-1,1,0
marisse_zero,196,105,145,0,-1,1,1
marisse_zero,197,205,270,0,-1,1,1
marisse_zero,198,255,180,0,-1,1,1
marisse_zero,199,205,90,45,-1,0,1
marisse_zero,200,155,180,45,-1,0,1
marisse_zero,201,205,315,90,-1,0,1
marisse_zero,202,105,45,0,-1,1,1
marisse_zero,203,105,45,0,-1,1,1
marisse_zero,204,205,270,45,-1,0,1
marisse_zero,205,155,315,0,-1,1,1
marisse_zero,206,105,225,0,-1,1,1
marisse_zero,207,205,225,0,-1,1,1
marisse_zero,208,155,90,0,-1,1,1
marisse_zero,209,155,0,0,-1,1,1
marisse_zero,210,155,45,0,-1,1,1
marisse_zero,211,255,45,0,-1,1,1
marisse_zero,212,255,45,45,-1,1,0
marisse_zero,213,105,225,90,-1,0,1
marisse_zero,214,205,90,0,-1,1,1
marisse_zero,215,105,145,90,-1,0,1
marisse_zero,216,105,225,45,-1,1,0
marisse_zero,217,105,90,0,-1,1,1
marisse_zero,218,255,270,22,-1,1,0
marisse_zero,219,105,145,0,-1,1,1
marisse_zero,220,155,225,0,-1,1,1
marisse_zero,221,155,45,90,-1,1,0
marisse_zero,222,255,145,0,-1,1,1
marisse_zero,223,205,180,90,-1,0,1
marisse_zero,224,205,225,22,-1,1,0
marisse_zero,225,255,145,180,-1,0,1
marisse_zero,226,205,225,0,-1,1,1
marisse_zero,227,205,145,45,-1,1,0
marisse_zero,228,105,180,90,-1,0,1
marisse_zero,229,205,45,0,-1,1,1
marisse_zero,230,255,0,0,-1,1,1
marisse_zero,231,105,90,22,-1,1,0
marisse_zero,232,105,0,22,-1,1,0
marisse_zero,233,155,180,22,-1,0,1
marisse_zero,234,105,315,0,-1,1,1
marisse_zero,235,255,315,180,-1,0,1
marisse_zero,236,105,0,0,-1,1,1
marisse_zero,237,105,180,0,-1,1,1
marisse_zero,238,205,90,0,-1,1,1
marisse_zero,239,255,0,0,-1,1,1
marisse_zero,240,155,270,180,-1,0,1
marisse_zero,241,105,225,180,-1,0,1
marisse_zero,242,155,180,0,-1,1,1
marisse_zero,243,205,145,0,-1,1,1
marisse_zero,244,105,270,180,-1,0,1
marisse_zero,245,255,180,180,-1,0,1
marisse_zero,246,105,45,180,-1,0,1
marisse_zero,247,255,0,180,-1,0,1
marisse_zero,248,105,315,22,-1,1,0
